Temple,GBC,2016,Goal2017,Monthly2017,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Total,PercYear,JanPerc,FebPerc,MarPerc,FebMOM
Alachua,Tamohar Dasa,18803,20683,1723.58,,1553,989,,,,,,,,,,2542,0.12,0.00,0.90,0.57,0.00
Atlanta,Tamohar Dasa,3214,3535,294.58,3994,,2083,,,,,,,,,,6077,1.72,13.56,0.00,7.07,-1.00
Austin,Nityananda Dasa,19472,21419,1784.92,1949,,2753,,,,,,,,,,4702,0.22,1.09,0.00,1.54,-1.00
Baltimore,Anuttama Dasa,57300,63030,5252.5,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Berkeley,Hari Vilas Dasa,7616,8377,698.08,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Bloomington,Romapada Swami,2018,2219,184.92,1239,,,,,,,,,,,,1239,0.56,6.70,0.00,0.00,-1.00
Boise,Badrinarayan Swami,4430,4873,406.08,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Boston,Romapada Swami,12140,13354,1112.83,,996,3209,,,,,,,,,,4205,0.31,0.00,0.90,2.88,0.00
Brampton,Bhakti Marga Swami,5376,5913,492.75,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Brooklyn,Romapada Swami,10962,12058,1004.83,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Calgary,Bhakti Marga Swami,495,544,45.33,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Central New Jersey,Romapada Swami,22111,24322,2026.83,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Chicago,Romapada Swami,56912,62603,5216.92,,6731,,,,,,,,,,,6731,0.11,0.00,1.29,0.00,0.00
College TSKP,Miscellaneous,9535,10488,874,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Columbus,Malati Devi Dasi,6631,7294,607.83,881,,,,,,,,,,,,881,0.12,1.45,0.00,0.00,-1.00
Dallas,Nityananda Dasa,11974,13171,1097.58,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Denver,Badrinarayan Swami,62242,68466,5705.5,5130,3000,4655,,,,,,,,,,12785,0.19,0.90,0.53,0.82,-0.42
Detroit,Malati Devi Dasi,9895,10884,907,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Farmington,Malati Devi Dasi,18257,20082,1673.5,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Festival of India,Anuttama Dasa,3922,4314,359.5,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Florida Misc.,Miscellaneous,46833,51516,4293,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Gainesville,Sesa Dasa,66731,73404,6117,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Hartford,Romapada Swami,12535,13788,1149,,2128,,,,,,,,,,,2128,0.15,0.00,1.85,0.00,0.00
Hillsboro,Hari Vilas Dasa      ,7361,8097,674.75,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
